# x_1,x_2,x_3,Class_label
9.58164887e+01,-1.44974500e+01,6.92917583e+01,0
-1.50826599e+01,8.25510116e+01,-2.90358431e+01,1
-7.74401909e+01,1.49328165e+02,-8.74604221e+01,1
3.31136788e+01,1.87565594e+02,-2.41134341e+01,0
2.31902877e+01,1.31877126e+02,-1.63759743e+01,0
-3.53821195e+01,2.58610993e+01,-2.79084685e+01,1
-4.74978833e+01,8.87585209e+01,-5.20842313e+01,1
-4.34332180e+00,1.10736443e+02,-2.91683234e+01,0
2.87595798e+01,2.10838381e+02,-3.29734551e+01,0
2.69422327e+01,1.01001230e+02,-5.96140676e+00,0
-7.87451231e+01,1.34600968e+02,-8.45409767e+01,1
-8.14444423e+01,1.54186079e+02,-9.13585061e+01,1
4.73872444e+01,3.65234107e+01,2.41329869e+01,0
5.61610804e+01,9.74341086e+01,1.42932206e+01,0
-4.36977158e+00,4.47855311e+01,-1.22444303e+01,1
1.17621526e+02,2.52451369e+01,7.35142514e+01,0
3.95948224e+01,6.62947856e+01,1.13279834e+01,0
2.36765650e+01,8.24769611e+01,-3.36427402e+00,0
5.68543425e+01,1.37899098e+02,4.35744920e+00,0
-2.03672313e+01,5.49908136e+01,-2.54537694e+01,0
-2.50925952e+01,8.85769952e+01,-3.72088034e+01,1
1.15628966e+01,1.00649487e+02,-1.60497673e+01,0
7.66076886e+01,1.78908389e+02,6.89665373e+00,0
-3.81042173e+01,1.17923931e+02,-5.33590719e+01,1
3.51121698e+01,1.44826820e+02,-1.18120555e+01,0
1.75721514e+01,2.34662113e+01,7.75417597e+00,0
-4.77085009e+01,8.16254789e+01,-5.03912991e+01,1
-4.12652049e+01,6.46512257e+01,-4.17665168e+01,1
7.16226533e+01,1.71476787e+02,5.50636179e+00,0
1.83874302e+01,1.09984682e+02,-1.39310077e+01,0
4.02881460e+01,1.17591368e+02,-1.39015527e+00,0
-4.94361769e+01,1.09330719e+02,-5.86516425e+01,1
1.65034621e+01,-4.65132342e+00,1.42696725e+01,1
-1.61095771e+01,7.43801358e+01,-2.76165760e+01,0
2.61591528e+01,1.52831924e+02,-1.97938956e+01,0
-5.65475049e+01,1.16069747e+02,-6.50893441e+01,1
6.76132113e+00,6.24795898e+01,-9.42261780e+00,0
4.84414796e+01,2.01743828e+02,-1.76109157e+01,0
7.97985907e+00,1.28272187e+02,-2.55168671e+01,0
-1.10214924e+01,5.92534764e+01,-2.03633396e+01,1
8.37220231e+01,-8.71038768e+00,5.98005387e+01,0
7.90042222e-01,1.17137011e+02,-2.74150099e+01,0
2.50081072e+01,1.19447948e+02,-1.19800681e+01,0
-4.55310066e+01,7.92251322e+01,-4.83335399e+01,1
-7.91295492e+01,1.09361551e+02,-7.83119326e+01,1
-3.15052898e+00,5.28990499e+01,-1.35216742e+01,1
-7.42027926e+01,9.24320448e+01,-7.07023569e+01,1
-5.87888669e+00,1.05566483e+02,-2.88565736e+01,0
4.31723357e+01,1.96108833e+02,-1.96507539e+01,0
7.53783680e+01,7.55802954e+01,3.26258443e+01,0
-1.00535456e+02,1.13987710e+02,-9.36676587e+01,1
-5.77922719e+01,6.72295216e+01,-5.33671612e+01,1
-8.98280613e+00,2.87124689e+01,-1.11687072e+01,1
-8.32963764e+01,1.66176087e+02,-9.56641773e+01,1
4.92848453e+01,1.75058623e+02,-1.01978730e+01,0
-9.62616714e+00,7.67902829e+01,-2.39446883e+01,1
-7.88239734e+00,5.32691898e+01,-1.67485124e+01,1
-3.90809372e+01,8.49385066e+01,-4.55322478e+01,0
2.24796028e+01,5.04244221e+01,4.07714557e+00,0
-3.60127682e+01,7.26651930e+01,-4.03488441e+01,1
3.83091732e+01,9.55494714e+01,2.96217262e+00,0
-8.91906233e+01,1.67754665e+02,-9.99707504e+01,1
5.25603279e+01,6.84987445e+01,1.93429704e+01,0
