# x_1,x_2,x_3,Class_label
-1.01942366e+02,6.39877677e+01,-1.06906676e+02,1
4.33784876e+01,8.80026286e+01,-2.52843286e+02,0
-1.21635864e+00,7.36251621e+01,-9.62811286e+01,0
-9.10611818e+01,-1.91646531e+01,-1.15195209e+02,0
-2.86274290e+01,5.56441654e+01,-2.56704893e+01,0
-6.28509193e+01,9.33742761e+00,1.31579226e+01,0
-9.62412108e+01,1.01916582e+02,-6.32739421e+01,1
-1.29113109e+02,5.66751745e+01,-7.43858110e+01,1
-9.86764170e+01,1.59742262e+02,-1.50042969e+02,1
-8.58805800e+01,1.94359409e+02,-4.06821332e+01,1
1.04325234e+02,1.58370987e+02,-9.25162128e+01,0
5.51274852e+01,1.03118442e+02,-1.51181117e+02,0
-1.14588819e+02,1.83809659e+01,-1.14393560e+02,1
-7.39738359e+01,1.39055791e+02,3.67532367e+00,1
3.03427788e+01,8.05493966e+01,-2.13139178e+02,0
-9.84259498e+01,1.98495695e+02,-5.14458531e+01,1
-1.35178988e+02,-5.35915057e+01,-2.26820390e+02,1
7.59509597e+01,1.35480774e+02,-8.66492726e+01,0
-1.05443255e+02,7.06559738e+01,9.14597452e+00,1
-7.70772776e+01,1.84801602e+02,-1.13033586e+01,1
-8.62195907e+01,1.51096120e+02,-5.49330223e+01,1
-1.31320965e+02,6.27747659e+01,-1.66333045e+02,1
-1.00863350e+02,9.95677249e+01,-4.82314502e+01,1
-1.55947103e+02,-7.11204574e+01,-1.84364697e+02,1
-7.46020968e+01,-4.19368388e+00,-8.41951986e+01,0
-9.91036560e+01,2.05965816e+01,-9.54242701e+01,1
-1.86100956e+02,-1.01972713e+02,-5.99956896e+01,0
-1.08348683e+02,-8.10534796e+01,-1.37138749e+02,1
-1.69144257e+01,4.84345979e+01,-6.45438426e+01,0
9.21852693e+01,1.19016402e+02,-2.50433822e+02,0
-7.52128289e+01,1.08092443e+01,-6.95498682e-01,0
2.45103630e+01,9.80889959e+01,-3.55102769e+00,0
-8.85720147e+01,-2.33316222e+01,-2.78059388e+01,1
-9.77481380e+01,-1.72759403e+01,-4.01416795e+00,0
6.86143768e+00,5.73735210e+01,-1.69892573e+02,0
-1.29112806e+02,1.21973663e+02,-1.16788299e+02,1
-1.38636082e+02,-1.14606262e+02,-2.12774231e+02,1
-9.59171952e+01,3.50910113e+01,-4.47267192e+01,1
-1.03042816e+02,-2.52879928e+01,-2.76286749e+01,0
-1.27705043e+02,9.83780417e+01,-1.00427124e+02,1
-1.50000943e+02,-7.34899442e+01,-1.71491145e+02,1
-8.23856096e+01,1.13872661e+02,-7.42979741e+01,1
-8.94068031e+01,1.64132544e+02,-1.09799496e+02,0
-8.24885940e+01,3.88525483e+00,-3.96355508e+01,1
-9.12383964e+01,9.01305576e+01,-7.76348818e+01,1
-1.03832495e+02,5.35982500e+01,-1.25685250e+02,1
-9.33140455e+01,-2.36430232e+01,-1.02778364e+02,1
-4.27472893e+01,1.93267724e+02,8.04458163e+01,1
-5.55244724e+00,5.16941513e+01,-1.19615305e+02,0
5.09577238e+01,9.53561579e+01,-2.19184374e+02,0
5.86795108e+01,1.22169995e+02,-5.72694232e+01,0
-1.09273591e+02,5.22236735e-01,-2.25320965e+02,1
-9.41847676e+01,-2.19250383e+01,-1.62617896e+01,1
-1.09692796e+02,3.10234231e+01,-8.74040920e+01,1
-1.34277010e+02,-5.90030198e+00,-1.85919714e+02,1
-1.05560288e+02,6.71760782e+01,-1.13272875e+02,1
7.55559399e+01,1.35828201e+02,-7.63644939e+01,0
-1.04325633e+02,-3.82741775e+01,-1.05631962e+02,1
3.75253204e+01,8.37836944e+01,-2.35897192e+02,0
-4.53335463e+01,1.64242490e+01,-1.10661316e+02,0
4.43643490e+01,1.08022678e+02,-1.49076344e+02,0
2.62345815e+01,9.29485225e+01,-5.06713837e+00,0
7.63963397e+01,1.44050861e+02,-6.61954357e+01,0
1.66152538e+01,7.07415159e+01,-1.45302788e+02,0
-9.55148600e+01,1.41032712e+02,-5.07397252e+01,1
1.54859537e+01,8.63528258e+01,-6.07366814e+01,0
-1.25730968e+02,-1.52217513e+02,-1.42205402e+02,1
-2.52498882e+01,3.90543676e+01,-7.12926829e+01,0
-7.68558911e+00,6.47849285e+01,-1.40840514e+02,0
-8.15817398e+01,-5.36168165e+00,-5.70364435e+01,0
1.00789798e+01,7.30920075e+01,-8.98822169e+01,0
-9.95911851e+01,7.27042142e+01,-1.23675805e+02,1
5.17192178e+01,1.10498759e+02,-8.14999721e+01,0
-7.16212272e+01,1.37918491e+02,8.67862783e+00,1
-1.25057981e+02,1.28959817e+02,-6.26516621e+01,1
-1.39322563e+01,5.62372789e+01,-1.12362266e+02,0
-1.18857521e+02,-3.90472394e+01,-1.51150764e+02,1
-6.10551882e+01,1.07763669e+01,-3.05846154e+01,0
-1.26063072e+02,7.70054004e+01,-7.88608909e+01,1
-1.32316167e+02,7.10081167e+01,-9.19716243e+01,1
-3.92911806e+01,2.11954304e+01,-9.47057398e+01,0
-1.01140374e+02,-7.69147586e+01,-1.27668500e+02,1
-1.30435340e+02,5.68905696e+01,-1.13815990e+02,1
1.76746600e+01,9.20087660e+01,-1.88491410e+01,0
-1.35919842e+02,1.48937627e+02,-6.92327021e+01,1
-1.26102301e+02,6.84731854e+01,-1.48864801e+02,1
-1.21018203e+02,-5.79803215e+01,-1.83648112e+02,1
1.96022646e+01,9.53596161e+01,2.16810927e+01,0
4.75166049e+01,9.71470285e+01,-1.92262639e+02,0
7.28908154e+01,1.33803759e+02,-1.11335153e+02,0
-9.49096669e+01,-6.51543463e+01,-5.05788457e+01,1
-1.36796842e+02,-6.85102796e+01,-1.50562410e+02,0
-1.41524243e+02,-5.28004185e+01,-2.41167803e+02,1
-9.32272507e+01,4.54168158e+01,-1.00867258e+02,1
5.61867786e+01,1.01126410e+02,-1.61481150e+02,0
7.47535476e+01,1.28096846e+02,-9.58107871e+01,0
5.03767543e+01,1.03809137e+02,-9.76404857e+01,0
-1.37786861e+02,4.52416768e+01,-1.30759148e+02,1
-1.08776044e+02,9.40351996e+01,-2.82469249e+01,1
-1.02486529e+02,1.79864359e+02,-6.08840532e+01,1
-1.41950451e+02,-6.22186473e+01,-8.55041234e+01,0
-1.77459568e+01,4.72572995e+01,-6.53881323e+01,0
1.70710788e+01,9.55966670e+01,-6.57031360e+00,0
-1.14971714e+02,3.56819279e+01,-1.42273651e+02,1
-1.51234192e+02,-5.52507852e+01,-2.40536095e+02,1
6.74550365e+01,1.13097690e+02,-1.54392951e+02,0
-9.18445431e+01,2.50934336e+02,1.78579913e+01,1
-6.94132114e+01,2.31120772e+02,5.79212088e+01,1
1.21050134e+02,1.82647761e+02,-5.61254543e+01,0
-1.01108363e+02,3.76312836e+00,-1.19585366e+02,1
4.65091010e+00,5.76732471e+01,-1.90891923e+02,0
-1.30261557e+02,-9.90165467e+01,-1.90672348e+02,1
8.98701207e+01,1.42184741e+02,-1.45373952e+02,0
-6.81461529e+01,6.83117929e+00,-4.94386069e+01,0
-1.19181292e+02,7.54962385e+00,-1.96860094e+02,1
-1.56972305e+02,1.54893663e+01,-2.01480655e+02,1
5.96088861e+01,1.24405557e+02,-3.37226577e+01,0
-3.74896976e+01,2.74364874e+01,-6.00212839e+01,0
-1.23298051e+02,7.12985074e+01,-1.02337005e+02,1
