# x_1,x_2,Class_label
1.88253835e+02,5.15350662e+01,2
1.90011745e+02,5.68635789e+01,2
1.63435470e+02,3.39870736e+01,2
-3.75647682e+02,3.84167242e+01,1
-3.05998635e+02,-2.39690128e+01,0
2.12561205e+02,7.27476599e+01,2
-3.32493268e+02,5.95333928e+01,1
-3.17800229e+02,5.96765268e+01,1
-3.15951785e+02,6.40693301e+01,1
-4.07710539e+02,-1.84927587e+01,0
-3.72936789e+02,-2.77319209e+01,0
1.81216121e+02,4.93368780e+01,2
-3.11532657e+02,7.01052628e+01,1
1.93097438e+02,6.08078316e+01,2
1.92523962e+02,5.68847638e+01,2
1.90882562e+02,5.72292424e+01,2
-3.15289189e+02,-1.43868370e+01,0
-2.97616839e+02,8.07395180e+01,1
-3.19978481e+02,5.84124145e+01,1
-2.81406367e+02,7.32530750e+01,1
-3.46579274e+02,6.99746305e+01,1
-2.53693687e+02,-2.58447929e+01,0
-3.32919422e+02,-4.04700817e+01,2
-3.48767847e+02,5.42390004e+01,1
-3.41169949e+02,-3.31033764e+01,0
-2.91573144e+02,5.04694738e+01,1
-4.08160783e+02,-2.27513733e+01,0
-3.61365577e+02,4.13455089e+01,1
-3.54282111e+02,-7.10138635e+00,0
-3.56763698e+02,-1.00364112e+01,1
-3.51035532e+02,3.67181093e+01,1
-3.67617464e+02,3.48998280e+01,1
-3.31893637e+02,5.69415906e+01,1
-3.91189229e+02,-2.36568141e+01,0
1.93531164e+02,5.73244670e+01,2
-3.43499998e+02,5.14545313e+01,1
-3.75213874e+02,2.86026974e+01,1
2.14032581e+02,7.74606024e+01,2
1.99098292e+02,6.12538785e+01,2
1.62430957e+02,2.91671830e+01,2
-2.94794343e+02,8.02069740e+01,1
-3.22855059e+02,6.78166821e+01,1
2.06354100e+02,6.91251898e+01,2
-3.49779909e+02,-2.11636179e+01,0
-3.10841321e+02,-1.90062647e+01,0
-3.32035778e+02,6.71121868e+01,1
-3.09137260e+02,6.42381879e+01,1
-3.56970126e+02,5.88371701e+01,1
-3.52426795e+02,6.18190101e+01,1
-3.58564369e+02,5.04482907e+01,1
-3.25517139e+02,-4.38954629e+01,0
2.01156307e+02,6.11674782e+01,2
1.82152484e+02,5.16717579e+01,2
-3.71785469e+02,-9.85640375e+00,1
2.04093137e+02,6.52583737e+01,2
-3.25318442e+02,5.49201496e+01,1
-3.60871828e+02,-8.66180089e+00,0
-3.66091793e+02,-3.50228330e+01,0
-3.89336456e+02,4.26373276e+01,1
-3.50541938e+02,5.87313865e+01,1
-2.76166680e+02,6.52148182e+01,1
-3.39379084e+02,4.36294815e+01,1
-3.45940024e+02,-2.65364078e+01,0
-3.01837468e+02,6.54543280e+01,1
-3.23021249e+02,-9.31797994e+00,0
2.01688485e+02,6.71625480e+01,2
-3.32034805e+02,-2.80313362e+01,0
-3.34872447e+02,-1.87395652e+01,0
1.85610703e+02,5.33688820e+01,1
1.94822362e+02,6.01951578e+01,2
-3.54970225e+02,5.63608302e+01,1
-3.09109496e+02,7.46190416e+01,1
-3.20922075e+02,6.94015978e+01,1
-3.29630870e+02,-2.35346015e+01,0
-4.34409857e+02,2.75893870e+00,1
-2.62292649e+02,8.51398686e+01,1
1.96823200e+02,5.96166606e+01,2
1.87221061e+02,5.22945244e+01,2
-3.62940199e+02,-2.89811396e+01,0
-3.40624320e+02,5.94648548e+01,1
-2.95754088e+02,5.33922484e+01,1
1.89246917e+02,5.77198999e+01,2
-3.10988385e+02,8.62869786e+01,1
1.96738479e+02,6.04865554e+01,2
1.95290688e+02,5.90098343e+01,2
1.82918005e+02,4.94519092e+01,2
-3.38430862e+02,-2.41445620e+01,0
-3.28621084e+02,5.06602366e+01,1
1.91946245e+02,5.83297406e+01,2
-2.04145434e+02,-2.81511171e+01,0
-4.38765882e+02,1.57321806e+01,1
1.86948109e+02,5.41513440e+01,2
1.88679131e+02,5.37564970e+01,2
2.03941730e+02,6.52861179e+01,2
-3.30232303e+02,-9.47016543e+00,0
1.75230180e+02,4.05714097e+01,2
-3.72032934e+02,-1.11845089e+01,0
-3.23149749e+02,-3.09645103e+01,0
-3.01804686e+02,5.80545374e+01,1
-4.05837168e+02,-3.69166089e+01,0
1.87040444e+02,5.09461440e+01,2
-3.70829464e+02,-2.76669296e+01,0
-3.28613050e+02,5.02305717e+01,1
1.98984935e+02,6.48202358e+01,2
-2.71694501e+02,7.06714108e+01,1
-3.66480836e+02,-1.75692396e+01,0
1.94978197e+02,6.01409026e+01,2
1.93217228e+02,6.04555376e+01,2
1.79078361e+02,4.75571085e+01,2
2.05871201e+02,6.46662008e+01,2
-3.64964272e+02,4.01819342e+01,1
-3.56862458e+02,3.75810929e+01,1
-3.51264104e+02,-3.25398378e+01,0
-3.07356557e+02,7.38065353e+01,1
1.84005674e+02,5.08005255e+01,2
2.01660496e+02,6.56651835e+01,2
1.93893133e+02,5.59979254e+01,2
1.83163773e+02,5.04305243e+01,2
-3.88244537e+02,-3.24705488e+01,0
1.91542828e+02,5.82582462e+01,2
-3.28653745e+02,-2.45762975e+01,0
-2.89178963e+02,-1.46214360e+01,0
-3.90718915e+02,5.47027106e+01,0
-3.51249857e+02,5.39393710e+01,1
1.85242611e+02,5.06302429e+01,2
-3.75489692e+02,-3.07690594e+01,0
1.86215331e+02,5.43240455e+01,2
-3.72320141e+02,-2.16538411e+01,1
1.85578814e+02,5.15305235e+01,2
-3.33000907e+02,-3.72324488e+01,0
-2.70510796e+02,-4.66943666e+01,0
1.78701463e+02,4.61699365e+01,2
-3.84646244e+02,-2.57691321e+01,0
1.98545831e+02,5.98345470e+01,2
-3.21337866e+02,8.86760183e-01,0
-3.40157319e+02,-2.42186894e+01,0
-3.78224195e+02,4.76231245e+01,1
-3.70450247e+02,5.27647765e+01,0
2.09782255e+02,6.97034449e+01,2
-3.43872005e+02,5.91595010e+01,0
-2.16370709e+02,-2.14715282e+01,0
1.88494656e+02,5.28773950e+01,2
-3.58498128e+02,2.20360360e+01,1
-2.89234138e+02,-2.71798249e+01,0
-2.98536034e+02,-1.01128639e+01,0
-3.45440457e+02,7.71858258e+01,1
-3.14142512e+02,4.54595951e+01,1
-4.16597296e+02,-1.54949560e+01,0
-3.12871180e+02,6.34454347e+01,1
-3.84226546e+02,-1.71105751e+01,0
1.88540774e+02,5.19064066e+01,2
2.01145493e+02,6.36420720e+01,2
-3.43411715e+02,5.09319484e+01,1
-3.52041075e+02,4.79228178e+01,1
-3.66878374e+02,5.42185402e+01,1
-3.41284870e+02,1.79331657e+00,0
1.94295409e+02,5.77617176e+01,2
2.08007203e+02,6.99664974e+01,2
2.01308192e+02,6.44938112e+01,2
-3.37861630e+02,7.26775706e+01,1
2.01153151e+02,6.35461479e+01,2
1.89377616e+02,5.88656701e+01,2
1.98099088e+02,6.13528396e+01,2
-2.70078397e+02,6.62400323e+01,1
1.90146185e+02,5.51604256e+01,2
-2.55301573e+02,-2.94690938e+01,0
-2.49475000e+02,-1.30705625e+01,0
-3.50385907e+02,5.15026520e+01,1
-3.74775154e+02,5.16838628e+01,1
-3.24783732e+02,5.27630170e+01,1
-3.16449947e+02,4.56681564e+01,1
-3.51632763e+02,6.46621199e+01,1
-3.23667727e+02,6.03528919e+01,1
1.69541003e+02,3.47226895e+01,2
2.10502929e+02,6.91569399e+01,2
-3.51510146e+02,-3.45938204e+01,0
-3.13385739e+02,-2.06753265e+01,0
-3.48711420e+02,-5.33728713e+01,0
-3.44441191e+02,4.61287860e+01,1
1.79763800e+02,4.54324036e+01,2
1.77984466e+02,4.50175006e+01,2
-3.65856459e+02,3.23187086e+01,1
-3.50645819e+02,4.87955253e+01,1
-3.22123198e+02,6.73111600e+01,1
-3.63346433e+02,-1.75837088e+01,0
-4.24533534e+02,2.37464923e+01,1
-3.18701757e+02,6.47323998e+01,1
-3.08950181e+02,6.37244305e+01,1
1.87437545e+02,4.99900985e+01,2
2.08905840e+02,6.81887471e+01,2
1.63849795e+02,3.30655671e+01,2
-3.54538765e+02,-2.03416784e+01,0
-3.86441733e+02,-2.84239427e+01,0
2.05528932e+02,6.95794270e+01,2
-3.41278731e+02,-1.71260013e+01,0
-3.69330613e+02,-5.88455487e-01,0
-3.30629357e+02,6.44459682e+01,1
-3.62060460e+02,-2.76441706e+01,0
-2.65980595e+02,6.95308447e+01,1
-3.67528038e+02,-3.02458055e+01,0
1.71405597e+02,3.89756662e+01,2
-3.50836871e+02,-2.35611734e+01,2
-3.20670513e+02,-4.00819427e+01,0
-3.40938725e+02,-2.36224750e+01,0
-3.32346179e+02,5.19868793e+01,1
1.91783685e+02,5.64495109e+01,2
2.02090811e+02,6.17525788e+01,2
-2.88693335e+02,-2.41552265e+01,0
-3.19642968e+02,-3.62051276e+01,1
-2.60854806e+02,-1.54414951e+01,0
-2.87030057e+02,6.61169660e+01,1
1.97860196e+02,6.25527169e+01,2
1.83668303e+02,4.73551086e+01,2
-2.90046630e+02,-1.45430814e+01,0
-3.77828757e+02,3.29338655e+01,1
-3.63013318e+02,5.44145484e+01,1
-3.46190991e+02,6.39696320e+01,1
-4.14031029e+02,-1.06987814e+01,0
1.52490631e+02,2.42905703e+01,2
-4.59165100e+02,-3.26774571e+01,0
-2.98587322e+02,6.04782064e+01,1
-4.18587638e+02,3.38863694e-01,0
-3.36769871e+02,6.50222810e+01,1
-3.67981323e+02,-2.07120548e+01,0
1.96747538e+02,6.01790586e+01,2
1.86866177e+02,5.25502314e+01,2
-2.29023553e+02,-1.51546486e+01,2
1.70181820e+02,3.53416882e+01,2
-3.11594596e+02,4.39040730e+01,1
1.86157813e+02,4.98732137e+01,2
-3.32598821e+02,-4.22856222e+01,0
2.05570011e+02,6.59848122e+01,2
-3.21472820e+02,-1.88521038e+01,0
-3.58340959e+02,5.06402725e+01,1
-3.66192225e+02,5.09724062e+01,1
-2.89205926e+02,-2.76830353e+01,0
1.90119739e+02,5.39004028e+01,2
-2.98383273e+02,5.42238434e+01,1
1.77092008e+02,4.54093841e+01,2
1.73097767e+02,4.11541321e+01,2
-3.96341709e+02,-4.09293454e+01,0
1.83751820e+02,5.25395481e+01,2
